source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0071944,cell periphery,5.596096335472575e-146,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",6263,459,393,22155,0.8562091503267973,0.06274948107935494,query_1,['GO:0110165']
GO:CC,GO:0009986,cell surface,2.7810713784135005e-137,True,"""The external part of the cell wall and/or plasma membrane."" [GOC:jl, GOC:mtg_sensu, GOC:sm]",904,459,187,22155,0.4074074074074074,0.206858407079646,query_1,['GO:0110165']
GO:BP,GO:0002376,immune system process,6.8907589282879e-136,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2913,454,292,20972,0.6431718061674009,0.10024030209406111,query_1,['GO:0008150']
GO:CC,GO:0005886,plasma membrane,1.0253253309010908e-123,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",5906,459,365,22155,0.7952069716775599,0.06180155773789367,query_1,"['GO:0016020', 'GO:0071944']"
GO:BP,GO:0006955,immune response,4.254378923413995e-121,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2118,454,245,20972,0.539647577092511,0.11567516525023608,query_1,"['GO:0002376', 'GO:0050896']"
GO:BP,GO:0007155,cell adhesion,1.377564990603755e-115,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1512,454,210,20972,0.46255506607929514,0.1388888888888889,query_1,['GO:0009987']
GO:BP,GO:0001775,cell activation,6.439626361510294e-114,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",1123,454,186,20972,0.40969162995594716,0.16562778272484416,query_1,"['GO:0009987', 'GO:0032501']"
GO:BP,GO:0002682,regulation of immune system process,5.0658135605329485e-113,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1594,454,212,20972,0.4669603524229075,0.1329987452948557,query_1,"['GO:0002376', 'GO:0050789']"
GO:BP,GO:0045321,leukocyte activation,2.31257290830119e-106,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",975,454,170,20972,0.3744493392070485,0.17435897435897435,query_1,"['GO:0001775', 'GO:0002376']"
GO:BP,GO:0050896,response to stimulus,3.162496793219422e-106,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,454,417,20972,0.9185022026431718,0.04607225720914816,query_1,['GO:0008150']
GO:BP,GO:0048584,positive regulation of response to stimulus,9.008434266773202e-106,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2320,454,239,20972,0.526431718061674,0.10301724137931034,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,3.221757403260143e-102,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2834,454,256,20972,0.5638766519823789,0.0903316866619619,query_1,['GO:0007165']
GO:CC,GO:0005576,extracellular region,5.607812290947646e-101,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4249,459,297,22155,0.6470588235294118,0.0698987997175806,query_1,['GO:0110165']
GO:BP,GO:0002684,positive regulation of immune system process,8.807674628334816e-98,True,"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]",1111,454,171,20972,0.3766519823788546,0.15391539153915393,query_1,"['GO:0002376', 'GO:0002682', 'GO:0048518']"
GO:BP,GO:0009605,response to external stimulus,1.5634390579980247e-97,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2427,454,235,20972,0.5176211453744494,0.09682735887927482,query_1,['GO:0050896']
GO:BP,GO:0006952,defense response,3.0042282866678874e-97,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1883,454,211,20972,0.4647577092511013,0.11205523101433883,query_1,['GO:0006950']
GO:MF,GO:0005102,signaling receptor binding,3.047575241690649e-97,True,"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]",1346,454,186,20208,0.40969162995594716,0.13818722139673106,query_1,['GO:0005515']
GO:CC,GO:0005615,extracellular space,1.4573482024641514e-96,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3252,459,260,22155,0.5664488017429193,0.07995079950799508,query_1,"['GO:0005576', 'GO:0110165']"
GO:BP,GO:0051239,regulation of multicellular organismal process,3.0111076154026115e-96,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2923,454,253,20972,0.5572687224669604,0.08655490933971946,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0007165,signal transduction,1.7419879420187076e-94,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6063,454,345,20972,0.7599118942731278,0.05690252350321623,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
