source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0071944,cell periphery,1.350950066175725e-156,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",6263,497,424,22155,0.8531187122736419,0.06769918569375699,query_1,['GO:0110165']
GO:BP,GO:0002376,immune system process,1.823737675750438e-149,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2913,492,318,20972,0.6463414634146342,0.10916580844490216,query_1,['GO:0008150']
GO:CC,GO:0009986,cell surface,1.2982412782261778e-143,True,"""The external part of the cell wall and/or plasma membrane."" [GOC:jl, GOC:mtg_sensu, GOC:sm]",904,497,198,22155,0.3983903420523139,0.21902654867256638,query_1,['GO:0110165']
GO:BP,GO:0006955,immune response,3.4583849875823206e-131,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2118,492,265,20972,0.5386178861788617,0.1251180358829084,query_1,"['GO:0002376', 'GO:0050896']"
GO:CC,GO:0005886,plasma membrane,8.568987917216761e-125,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",5906,497,386,22155,0.7766599597585513,0.0653572637995259,query_1,"['GO:0016020', 'GO:0071944']"
GO:BP,GO:0007155,cell adhesion,5.902020105127333e-123,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1512,492,225,20972,0.4573170731707317,0.1488095238095238,query_1,['GO:0009987']
GO:BP,GO:0001775,cell activation,9.286213810133024e-119,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",1123,492,197,20972,0.40040650406504064,0.17542297417631345,query_1,"['GO:0009987', 'GO:0032501']"
GO:BP,GO:0002682,regulation of immune system process,7.14361580406972e-118,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1594,492,225,20972,0.4573170731707317,0.1411543287327478,query_1,"['GO:0002376', 'GO:0050789']"
GO:BP,GO:0050896,response to stimulus,1.1003479221707673e-116,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,492,453,20972,0.9207317073170732,0.05004971826317534,query_1,['GO:0008150']
GO:BP,GO:0007166,cell surface receptor signaling pathway,1.4496553564623864e-115,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2834,492,282,20972,0.573170731707317,0.0995059985885674,query_1,['GO:0007165']
GO:BP,GO:0045321,leukocyte activation,2.0502040551526903e-114,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",975,492,183,20972,0.3719512195121951,0.18769230769230769,query_1,"['GO:0001775', 'GO:0002376']"
GO:BP,GO:0048584,positive regulation of response to stimulus,4.2688568885630904e-110,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2320,492,254,20972,0.516260162601626,0.10948275862068965,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:CC,GO:0005576,extracellular region,4.121776959082424e-109,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4249,497,321,22155,0.6458752515090543,0.07554718757354671,query_1,['GO:0110165']
