source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0071944,cell periphery,5.229241624285758e-150,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",6263,479,408,22155,0.8517745302713987,0.06514449944116238,query_1,['GO:0110165']
GO:BP,GO:0002376,immune system process,8.997218324637122e-148,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2913,474,310,20972,0.6540084388185654,0.10641949879848953,query_1,['GO:0008150']
GO:CC,GO:0009986,cell surface,4.016462953583625e-146,True,"""The external part of the cell wall and/or plasma membrane."" [GOC:jl, GOC:mtg_sensu, GOC:sm]",904,479,197,22155,0.4112734864300626,0.2179203539823009,query_1,['GO:0110165']
GO:BP,GO:0006955,immune response,3.343742201001435e-131,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2118,474,260,20972,0.5485232067510548,0.12275731822474033,query_1,"['GO:0002376', 'GO:0050896']"
GO:CC,GO:0005886,plasma membrane,2.135159023363388e-129,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",5906,479,381,22155,0.7954070981210856,0.0645106671181849,query_1,"['GO:0016020', 'GO:0071944']"
GO:BP,GO:0002682,regulation of immune system process,2.3498740739277666e-123,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1594,474,226,20972,0.4767932489451477,0.14178168130489335,query_1,"['GO:0002376', 'GO:0050789']"
GO:BP,GO:0001775,cell activation,3.6368105319366195e-120,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",1123,474,195,20972,0.41139240506329117,0.1736420302760463,query_1,"['GO:0009987', 'GO:0032501']"
GO:BP,GO:0007155,cell adhesion,1.483348054051653e-119,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1512,474,218,20972,0.459915611814346,0.14417989417989419,query_1,['GO:0009987']
GO:BP,GO:0050896,response to stimulus,2.055641393193007e-115,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,474,439,20972,0.9261603375527426,0.04850292785327588,query_1,['GO:0008150']
GO:BP,GO:0045321,leukocyte activation,2.773674504164327e-114,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",975,474,180,20972,0.379746835443038,0.18461538461538463,query_1,"['GO:0001775', 'GO:0002376']"
